SID,SEASON,ISO_TIME,LAT,LON,WMO_WIND,DIST2LAND,LANDFALL
1980284N09092,1980,1980-10-10 06:00:00,8.80000,92.3000, ,480,466
1980284N09092,1980,1980-10-10 09:00:00,8.84254,92.5575, ,459,454
1980284N09092,1980,1980-10-10 12:00:00,8.90000,92.8000, ,454,448
1980284N09092,1980,1980-10-10 15:00:00,8.98499,93.0150, ,451,445
1980284N09092,1980,1980-10-10 18:00:00,9.10000,93.2000, ,449,444
1980284N09092,1980,1980-10-10 21:00:00,9.25000,93.3950, ,459,455
1980284N09092,1980,1980-10-11 00:00:00,9.40000,93.5000, ,465,465
1980284N09092,1980,1980-10-11 03:00:00,9.51498,93.4525, ,475,475
1980284N09092,1980,1980-10-11 06:00:00,9.60000,93.3000, ,494,494
1980284N09092,1980,1980-10-11 09:00:00,9.66501,93.1150, ,514,514
1980284N09092,1980,1980-10-11 12:00:00,9.70000,92.9000, ,524,524
1980284N09092,1980,1980-10-11 15:00:00,9.69999,92.7000, ,535,535
1980284N09092,1980,1980-10-11 18:00:00,9.70000,92.5000, ,547,547
1980284N09092,1980,1980-10-11 21:00:00,9.72750,92.2925, ,559,559
1980284N09092,1980,1980-10-12 00:00:00,9.80000,92.1000, ,581,581
1980284N09092,1980,1980-10-12 03:00:00,9.91250,91.9275, ,603,603
1980284N09092,1980,1980-10-12 06:00:00,10.1000,91.8000, ,628,628
1980284N09092,1980,1980-10-12 09:00:00,10.4000,91.7050, ,661,641
1980284N09092,1980,1980-10-12 12:00:00,10.7000,91.7000, ,641,616
1980284N09092,1980,1980-10-12 15:00:00,10.8800,91.8125, ,616,596
1980284N09092,1980,1980-10-12 18:00:00,11.0000,92.0000, ,596,577
1980284N09092,1980,1980-10-12 21:00:00,11.1150,92.1775, ,577,558
1980284N09092,1980,1980-10-13 00:00:00,11.2000,92.4000, ,558,536
1980284N09092,1980,1980-10-13 03:00:00,11.2575,92.6925, ,536,526
1980284N09092,1980,1980-10-13 06:00:00,11.3000,93.0000, ,526,506
1980284N09092,1980,1980-10-13 09:00:00,11.3800,93.2649, ,506,502
1980284N09092,1980,1980-10-13 12:00:00,11.4000,93.5000, ,502,500
1980284N09092,1980,1980-10-13 15:00:00,11.2725,93.7301, ,509,505
1980284N09092,1980,1980-10-13 18:00:00,11.1000,93.9000, ,505,493
1980284N09092,1980,1980-10-13 21:00:00,11.0000,93.9875, ,493,493
1980284N09092,1980,1980-10-14 00:00:00,10.9000,94.0000, ,493,492
1980284N09092,1980,1980-10-14 03:00:00,10.7500,93.9800, ,492,492
1980284N09092,1980,1980-10-14 06:00:00,10.6000,93.9000, ,503,503
1980284N09092,1980,1980-10-14 09:00:00,10.4999,93.8101, ,514,514
1980284N09092,1980,1980-10-14 12:00:00,10.4000,93.6000, ,536,536
1980284N09092,1980,1980-10-14 15:00:00,10.2500,93.2174, ,560,560
1980284N09092,1980,1980-10-14 18:00:00,10.1000,92.7000, ,574,574
1980284N09092,1980,1980-10-14 21:00:00,9.98496,92.1300, ,599,599
1980284N09092,1980,1980-10-15 00:00:00,9.90000,91.5000, ,631,631
1980284N09092,1980,1980-10-15 03:00:00,9.81242,90.8574, ,668,668
1980284N09092,1980,1980-10-15 06:00:00,9.80000,90.2000, ,724,724
1980284N09092,1980,1980-10-15 09:00:00,9.97237,89.5504, ,790,790
1980284N09092,1980,1980-10-15 12:00:00,10.1000,88.9000, ,829,763
1980284N09092,1980,1980-10-15 15:00:00,9.98228,88.2650, ,763,680
1980284N09092,1980,1980-10-15 18:00:00,9.70000,87.6000, ,680,592
1980284N09092,1980,1980-10-15 21:00:00,9.28507,86.8421, ,582,495
1980284N09092,1980,1980-10-16 00:00:00,8.90000,86.1000, ,495,429
1980284N09092,1980,1980-10-16 03:00:00,8.74733,85.4703, ,425,363
1980284N09092,1980,1980-10-16 06:00:00,8.70000,84.9000, ,363,307
1980284N09092,1980,1980-10-16 09:00:00,8.64245,84.3276, ,297,247
1980284N09092,1980,1980-10-16 12:00:00,8.60000,83.8000, ,247,208
1980284N09092,1980,1980-10-16 15:00:00,8.54992,83.3275, ,193,153
1980284N09092,1980,1980-10-16 18:00:00,8.50000,82.9000, ,153,113
1980284N09092,1980,1980-10-16 21:00:00,8.44994,82.4925, ,108,71
1980284N09092,1980,1980-10-17 00:00:00,8.40000,82.1000, ,71,33
1980284N09092,1980,1980-10-17 03:00:00,8.34996,81.7000, ,31,0
1980284N09092,1980,1980-10-17 06:00:00,8.30000,81.3000, ,0,0
1980284N09092,1980,1980-10-17 09:00:00,8.25735,80.9300, ,0,0
