Latitude,Longitude,Rainfall_mm
37.9167,68.0833,405
37.9167,68.25,322
37.9167,68.4167,462
37.9167,68.5833,374
37.9167,68.75,312
37.9167,68.9167,429
37.9167,69.0833,546
37.9167,69.25,569
37.9167,69.4167,669
37.9167,69.5833,605
37.9167,69.75,604
37.9167,69.9167,786
37.9167,70.0833,810
37.9167,70.25,710
37.9167,70.4167,658
37.9167,70.5833,631
37.9167,70.75,614
37.9167,70.9167,678
37.9167,71.0833,561
37.9167,71.25,429
37.9167,71.4167,440
37.9167,71.5833,381
37.9167,71.75,465
37.9167,71.9167,470
37.9167,72.0833,617
37.9167,72.25,634
37.9167,72.4167,623
37.9167,72.5833,528
37.9167,72.75,438
37.9167,72.9167,347
37.9167,73.0833,392
37.9167,73.25,328
37.9167,73.4167,264
37.9167,73.5833,194
37.9167,73.75,175
37.9167,73.9167,138
37.9167,74.0833,113
37.9167,74.25,103
37.9167,74.4167,104
37.9167,74.5833,86
37.9167,74.75,94
37.9167,74.9167,122
37.9167,75.0833,77
37.9167,75.25,62
37.9167,75.4167,79
37.9167,75.5833,93
37.9167,75.75,61
37.9167,75.9167,59
37.9167,76.0833,53
37.9167,76.25,42
37.9167,76.4167,38
37.9167,76.5833,37
37.9167,76.75,34
37.9167,76.9167,34
37.9167,77.0833,34
37.9167,77.25,35
37.9167,77.4167,33
37.9167,77.5833,32
37.9167,77.75,28
37.9167,77.9167,28
37.9167,78.0833,28
37.9167,78.25,29
37.9167,78.4167,29
37.9167,78.5833,28
37.9167,78.75,28
37.9167,78.9167,28
37.9167,79.0833,29
37.9167,79.25,30
37.9167,79.4167,30
37.9167,79.5833,32
37.9167,79.75,32
37.9167,79.9167,33
37.9167,80.0833,33
37.9167,80.25,33
37.9167,80.4167,32
37.9167,80.5833,32
37.9167,80.75,33
37.9167,80.9167,34
37.9167,81.0833,33
37.9167,81.25,33
37.9167,81.4167,33
37.9167,81.5833,32
37.9167,81.75,32
37.9167,81.9167,32
37.9167,82.0833,31
37.9167,82.25,31
37.9167,82.4167,31
37.9167,82.5833,31
37.9167,82.75,26
37.9167,82.9167,27
37.9167,83.0833,26
37.9167,83.25,24
37.9167,83.4167,24
37.9167,83.5833,22
37.9167,83.75,23
37.9167,83.9167,24
37.9167,84.0833,24
37.9167,84.25,25
37.9167,84.4167,25
37.9167,84.5833,25
37.9167,84.75,30
37.9167,84.9167,30
37.9167,85.0833,32
37.9167,85.25,35
37.9167,85.4167,36
37.9167,85.5833,38
37.9167,85.75,41
37.9167,85.9167,43
37.9167,86.0833,45
37.9167,86.25,52
37.9167,86.4167,75
37.9167,86.5833,86
37.9167,86.75,116
37.9167,86.9167,123
37.9167,87.0833,127
37.9167,87.25,130
37.9167,87.4167,199
37.9167,87.5833,138
37.9167,87.75,125
