Latitude,Longitude,Extreme_High_Temp_C
37.9167,68.0833,32.8
37.9167,68.25,36.61
37.9167,68.4167,32.08
37.9167,68.5833,36.34
37.9167,68.75,37.11
37.9167,68.9167,36.89
37.9167,69.0833,36.96
37.9167,69.25,38.05
37.9167,69.4167,36.33
37.9167,69.5833,37.38
37.9167,69.75,37.33
37.9167,69.9167,33.4
37.9167,70.0833,28.75
37.9167,70.25,31.24
37.9167,70.4167,21.57
37.9167,70.5833,22.53
37.9167,70.75,20.25
37.9167,70.9167,15.92
37.9167,71.0833,19.75
37.9167,71.25,24.52
37.9167,71.4167,22.54
37.9167,71.5833,23.52
37.9167,71.75,19.53
37.9167,71.9167,18.02
37.9167,72.0833,13.19
37.9167,72.25,11.24
37.9167,72.4167,10.02
37.9167,72.5833,11.71
37.9167,72.75,13.33
37.9167,72.9167,15.77
37.9167,73.0833,12.27
37.9167,73.25,13.31
37.9167,73.4167,14.81
37.9167,73.5833,17.14
37.9167,73.75,17.02
37.9167,73.9167,17.54
37.9167,74.0833,18.99
37.9167,74.25,20.25
37.9167,74.4167,19.3
37.9167,74.5833,21.01
37.9167,74.75,19.34
37.9167,74.9167,14.84
37.9167,75.0833,21.01
37.9167,75.25,22.43
37.9167,75.4167,18.85
37.9167,75.5833,14.73
37.9167,75.75,21.18
37.9167,75.9167,19.88
37.9167,76.0833,21.83
37.9167,76.25,27.42
37.9167,76.4167,27.76
37.9167,76.5833,31.5
37.9167,76.75,32.67
37.9167,76.9167,33.71
37.9167,77.0833,34.44
37.9167,77.25,33.43
37.9167,77.4167,32.57
37.9167,77.5833,33.91
37.9167,77.75,35.54
37.9167,77.9167,35.64
37.9167,78.0833,35.57
37.9167,78.25,35.37
37.9167,78.4167,35.26
37.9167,78.5833,35.23
37.9167,78.75,35.3
37.9167,78.9167,35.3
37.9167,79.0833,35.3
37.9167,79.25,35.3
37.9167,79.4167,35.15
37.9167,79.5833,35.05
37.9167,79.75,35.02
37.9167,79.9167,35.0
37.9167,80.0833,35.04
37.9167,80.25,35.02
37.9167,80.4167,34.62
37.9167,80.5833,35.13
37.9167,80.75,35.31
37.9167,80.9167,35.39
37.9167,81.0833,35.49
37.9167,81.25,35.52
37.9167,81.4167,35.46
37.9167,81.5833,35.41
37.9167,81.75,35.52
37.9167,81.9167,35.58
37.9167,82.0833,35.6
37.9167,82.25,35.57
37.9167,82.4167,35.47
37.9167,82.5833,35.37
37.9167,82.75,35.16
37.9167,82.9167,35.23
37.9167,83.0833,35.2
37.9167,83.25,34.93
37.9167,83.4167,35.12
37.9167,83.5833,34.82
37.9167,83.75,34.69
37.9167,83.9167,34.84
37.9167,84.0833,34.84
37.9167,84.25,34.93
37.9167,84.4167,34.7
37.9167,84.5833,34.7
37.9167,84.75,34.7
37.9167,84.9167,34.57
37.9167,85.0833,34.18
37.9167,85.25,33.7
37.9167,85.4167,33.44
37.9167,85.5833,32.67
37.9167,85.75,32.55
37.9167,85.9167,32.32
37.9167,86.0833,31.43
37.9167,86.25,28.85
37.9167,86.4167,21.53
37.9167,86.5833,19.54
37.9167,86.75,15.37
37.9167,86.9167,14.74
37.9167,87.0833,14.62
37.9167,87.25,14.28
37.9167,87.4167,7.52
37.9167,87.5833,13.87
37.9167,87.75,16.3
37.9167,87.9167,15.23
37.9167,88.0833,13.69
37.9167,88.25,14.58
37.9167,88.4167,15.33
37.9167,88.5833,16.12
37.9167,88.75,15.61
37.9167,88.9167,14.26
37.9167,89.0833,15.27
37.9167,89.25,16.43
37.9167,89.4167,16.98
37.9167,89.5833,17.63
37.9167,89.75,17.49
37.9167,89.9167,18.54
37.9167,90.0833,17.53
37.9167,90.25,15.38
37.9167,90.4167,16.95
37.9167,90.5833,20.02
37.9167,90.75,21.34
37.9167,90.9167,22.0
37.9167,91.0833,22.5
37.9167,91.25,22.17
37.9167,91.4167,19.96
37.9167,91.5833,20.35
37.9167,91.75,22.68
37.9167,91.9167,23.79
37.9167,92.0833,24.51
37.9167,92.25,24.38
37.9167,92.4167,24.05
37.9167,92.5833,24.03
37.9167,92.75,24.01
37.9167,92.9167,24.06
37.9167,93.0833,23.78
37.9167,93.25,23.43
37.9167,93.4167,24.51
37.9167,93.5833,24.87
37.9167,93.75,25.24
37.9167,93.9167,25.26
37.9167,94.0833,25.09
37.9167,94.25,25.07
37.9167,94.4167,24.76
37.9167,94.5833,24.54
37.9167,94.75,23.93
37.9167,94.9167,21.72
37.9167,95.0833,21.65
37.9167,95.25,20.18
37.9167,95.4167,14.98
37.9167,95.5833,11.28
37.9167,95.75,13.86
37.9167,95.9167,15.31
37.9167,96.0833,16.24
37.9167,96.25,15.32
37.9167,96.4167,13.74
37.9167,96.5833,13.08
37.9167,96.75,13.45
37.9167,96.9167,14.47
37.75,68.0833,35.44
37.75,68.25,36.83
37.75,68.4167,35.78
37.75,68.5833,37.02
37.75,68.75,37.23
37.75,68.9167,38.66
37.75,69.0833,38.6
37.75,69.25,39.13
37.75,69.4167,38.28
37.75,69.5833,37.65
37.75,69.75,36.6
37.75,69.9167,31.92
37.75,70.0833,27.15
37.75,70.25,32.02
37.75,70.4167,24.29
37.75,70.5833,21.17
37.75,70.75,18.59
37.75,70.9167,20.15
37.75,71.0833,22.54
37.75,71.25,16.29
37.75,71.4167,15.87
37.75,71.5833,22.44
37.75,71.75,14.95
37.75,71.9167,16.75
37.75,72.0833,15.9
37.75,72.25,16.25
37.75,72.4167,16.85
37.75,72.5833,16.65
37.75,72.75,15.0
37.75,72.9167,19.08
37.75,73.0833,19.04
37.75,73.25,19.86
37.75,73.4167,17.85
37.75,73.5833,18.11
37.75,73.75,19.88
37.75,73.9167,18.24
37.75,74.0833,17.5
37.75,74.25,18.27
37.75,74.4167,18.89
37.75,74.5833,19.16
37.75,74.75,19.8
37.75,74.9167,14.23
37.75,75.0833,14.85
37.75,75.25,23.32
37.75,75.4167,22.23
37.75,75.5833,21.66
37.75,75.75,19.32
37.75,75.9167,21.0
37.75,76.0833,23.12
37.75,76.25,23.86
37.75,76.4167,25.11
37.75,76.5833,29.36
37.75,76.75,30.84
37.75,76.9167,32.2
37.75,77.0833,32.74
37.75,77.25,33.37
37.75,77.4167,33.36
37.75,77.5833,34.13
37.75,77.75,34.83
37.75,77.9167,35.08
37.75,78.0833,35.16
37.75,78.25,34.91
37.75,78.4167,34.89
37.75,78.5833,35.16
37.75,78.75,35.2
37.75,78.9167,35.19
37.75,79.0833,35.28
37.75,79.25,35.37
37.75,79.4167,35.18
37.75,79.5833,35.02
37.75,79.75,34.99
37.75,79.9167,35.01
37.75,80.0833,34.76
37.75,80.25,34.57
37.75,80.4167,34.17
37.75,80.5833,35.17
37.75,80.75,35.25
37.75,80.9167,35.33
37.75,81.0833,35.33
37.75,81.25,35.39
37.75,81.4167,35.28
37.75,81.5833,35.32
37.75,81.75,35.34
37.75,81.9167,35.21
37.75,82.0833,35.06
37.75,82.25,35.08
37.75,82.4167,34.88
37.75,82.5833,34.76
37.75,82.75,34.78
37.75,82.9167,35.01
37.75,83.0833,34.99
37.75,83.25,35.0
37.75,83.4167,35.16
37.75,83.5833,34.99
37.75,83.75,34.63
37.75,83.9167,34.7
37.75,84.0833,34.67
37.75,84.25,34.63
37.75,84.4167,34.65
37.75,84.5833,34.55
37.75,84.75,34.34
37.75,84.9167,33.88
37.75,85.0833,33.34
37.75,85.25,32.89
37.75,85.4167,32.28
37.75,85.5833,31.65
37.75,85.75,31.08
37.75,85.9167,30.5
37.75,86.0833,27.8
37.75,86.25,22.02
37.75,86.4167,17.54
37.75,86.5833,16.65
37.75,86.75,15.67
