Latitude,Longitude,Tmax_C
37.9167,68.0833,5.28
37.9167,68.25,6.77
37.9167,68.4167,3.93
37.9167,68.5833,7.03
37.9167,68.75,8.26
37.9167,68.9167,7.38
37.9167,69.0833,6.56
37.9167,69.25,6.83
37.9167,69.4167,6.04
37.9167,69.5833,6.99
37.9167,69.75,7.17
37.9167,69.9167,4.13
37.9167,70.0833,0.69
37.9167,70.25,2.09
37.9167,76.5833,0.34
37.9167,76.75,1.31
37.9167,76.9167,1.37
37.9167,77.0833,1.66
37.9167,77.25,1.5
37.9167,77.4167,1.25
37.9167,77.5833,1.36
37.9167,77.75,1.03
37.9167,77.9167,0.85
37.9167,78.0833,0.67
37.9167,78.25,0.2
37.9167,80.25,0.21
37.9167,80.4167,0.43
37.9167,80.5833,0.64
37.9167,80.75,0.43
37.9167,80.9167,0.37
37.9167,81.0833,0.45
37.9167,81.25,0.6
37.9167,81.4167,0.71
37.9167,81.5833,0.81
37.9167,81.75,1.02
37.9167,81.9167,1.16
37.9167,82.0833,1.19
37.9167,82.25,1.13
37.9167,82.4167,1.1
37.9167,82.5833,1.01
37.9167,82.75,0.62
37.9167,82.9167,0.39
37.9167,83.0833,0.34
37.9167,83.25,0.28
37.9167,83.4167,0.22
37.9167,83.9167,0.03
37.9167,84.0833,0.16
37.9167,84.25,0.3
37.9167,84.4167,0.33
37.9167,84.5833,0.22
37.9167,84.75,0.17
37.75,68.0833,6.36
37.75,68.25,6.91
37.75,68.4167,6.29
37.75,68.5833,7.48
37.75,68.75,7.96
37.75,68.9167,7.75
37.75,69.0833,7.17
37.75,69.25,7.11
37.75,69.4167,7.08
37.75,69.5833,7.47
37.75,69.75,6.34
37.75,69.9167,3.2
37.75,70.25,2.76
37.75,76.9167,0.35
37.75,77.0833,0.69
37.75,77.25,0.9
37.75,77.4167,1.02
37.75,77.5833,0.94
37.75,77.75,0.93
37.75,77.9167,0.8
37.75,78.0833,0.57
37.75,78.25,0.23
37.75,78.4167,0.25
37.75,79.25,0.02
37.75,80.0833,0.17
37.75,80.25,0.49
37.75,80.4167,0.6
37.75,80.5833,0.71
37.75,80.75,0.45
37.75,80.9167,0.45
37.75,81.0833,0.48
37.75,81.25,0.63
37.75,81.4167,0.75
37.75,81.5833,1.12
37.75,81.75,1.32
37.75,81.9167,1.42
37.75,82.0833,1.35
37.75,82.25,1.31
37.75,82.4167,1.17
37.75,82.5833,1.09
37.75,82.75,0.8
37.75,82.9167,0.61
37.75,83.0833,0.42
37.75,83.25,0.61
37.75,83.4167,0.64
37.75,83.5833,0.5
37.75,83.75,0.38
37.75,83.9167,0.41
37.75,84.0833,0.45
37.75,84.25,0.52
37.75,84.4167,0.45
37.75,84.5833,0.33
37.75,84.75,0.18
37.5833,68.0833,7.53
37.5833,68.25,7.27
37.5833,68.4167,7.79
37.5833,68.5833,7.89
37.5833,68.75,7.67
37.5833,68.9167,7.56
37.5833,69.0833,6.06
37.5833,69.25,6.3
37.5833,69.4167,7.6
37.5833,69.5833,7.6
37.5833,69.75,6.97
37.5833,69.9167,6.14
37.5833,70.0833,4.47
37.5833,70.25,3.19
37.5833,70.4167,0.29
37.5833,77.0833,0.69
37.5833,77.25,0.37
37.5833,77.4167,0.5
37.5833,77.5833,0.57
37.5833,77.75,0.18
37.5833,77.9167,0.3
37.5833,78.0833,0.47
37.5833,78.25,0.51
37.5833,78.4167,0.59
37.5833,78.5833,0.44
37.5833,78.75,0.2
37.5833,79.0833,0.24
37.5833,79.25,0.58
37.5833,79.4167,0.44
37.5833,79.5833,0.25
37.5833,79.75,0.53
37.5833,79.9167,0.47
37.5833,80.0833,0.57
37.5833,80.25,0.65
37.5833,80.4167,0.77
37.5833,80.5833,0.7
37.5833,80.75,0.42
37.5833,80.9167,0.44
37.5833,81.0833,0.43
37.5833,81.25,0.58
37.5833,81.4167,0.89
37.5833,81.5833,1.39
37.5833,81.75,1.46
37.5833,81.9167,1.17
37.5833,82.0833,1.13
37.5833,82.25,1.01
37.5833,82.4167,0.65
37.5833,82.5833,0.75
37.5833,82.75,0.73
37.5833,82.9167,0.72
37.5833,83.0833,0.85
37.5833,83.25,1.14
37.5833,83.4167,1.19
37.5833,83.5833,1.17
37.5833,83.75,1.21
37.5833,83.9167,0.59
37.5833,84.0833,0.34
37.5833,84.5833,0.18
37.4167,68.0833,7.87
37.4167,68.25,7.44
37.4167,68.4167,7.8
37.4167,68.5833,7.71
37.4167,68.75,7.5
37.4167,68.9167,7.43
37.4167,69.0833,6.87
37.4167,69.25,5.94
37.4167,69.4167,7.68
37.4167,69.5833,7.39
37.4167,69.75,5.86
37.4167,69.9167,2.71
37.4167,70.0833,1.94
37.4167,78.25,0.12
37.4167,78.4167,0.49
37.4167,78.5833,0.38
37.4167,78.75,0.54
37.4167,78.9167,0.39
37.4167,79.0833,0.61
37.4167,79.25,0.97
37.4167,79.4167,0.7
37.4167,79.5833,0.42
37.4167,79.75,0.66
37.4167,79.9167,0.8
37.4167,80.0833,0.81
37.4167,80.25,1.02
37.4167,80.4167,0.88
37.4167,80.5833,0.55
37.4167,80.75,0.32
37.4167,80.9167,0.38
37.4167,81.0833,0.52
37.4167,81.25,0.71
37.4167,81.4167,1.1
37.4167,81.5833,1.45
37.4167,81.75,1.32
37.4167,81.9167,0.92
37.4167,82.0833,0.95
37.4167,82.25,0.8
37.4167,82.4167,0.51
37.4167,82.5833,0.9
37.4167,82.75,1.08
37.4167,82.9167,1.14
37.4167,83.0833,1.23
37.4167,83.25,1.35
37.4167,83.4167,1.38
37.4167,83.5833,1.23
37.4167,83.75,0.8
37.4167,83.9167,0.32
37.4167,84.0833,0.05
37.25,68.0833,8.08
37.25,68.25,7.56
37.25,68.4167,7.91
37.25,68.5833,7.8
37.25,68.75,7.64
37.25,68.9167,7.56
37.25,69.0833,7.49
37.25,69.25,7.03
37.25,69.4167,7.22
37.25,69.5833,6.33
37.25,69.75,4.87
37.25,69.9167,1.96
37.25,70.0833,2.65
37.25,70.25,3.0
37.25,70.4167,3.34
37.25,70.5833,1.02
37.25,78.75,0.61
37.25,78.9167,0.62
37.25,79.0833,0.63
37.25,79.25,0.97
37.25,79.4167,0.96
37.25,79.5833,0.38
37.25,79.75,0.39
37.25,79.9167,0.81
37.25,80.0833,1.24
37.25,80.25,1.01
37.25,80.4167,1.0
37.25,80.5833,0.79
37.25,80.75,0.63
37.25,80.9167,0.65
37.25,81.0833,0.88
37.25,81.25,1.14
37.25,81.4167,1.32
37.25,81.5833,1.58
37.25,81.75,1.41
37.25,81.9167,1.27
37.25,82.0833,1.21
37.25,82.25,1.17
37.25,82.4167,1.02
37.25,82.5833,1.57
37.25,82.75,1.39
37.25,82.9167,1.27
37.25,83.0833,1.41
37.25,83.25,1.26
37.25,83.4167,0.98
37.25,83.5833,0.77
37.25,83.75,0.43
37.0833,68.0833,8.02
37.0833,68.25,7.68
37.0833,68.4167,7.58
37.0833,68.5833,7.67
37.0833,68.75,7.29
37.0833,68.9167,6.61
37.0833,69.0833,7.16
37.0833,69.25,7.11
37.0833,69.4167,6.77
37.0833,69.5833,6.44
37.0833,69.75,4.26
37.0833,69.9167,2.59
37.0833,70.0833,5.19
37.0833,70.25,4.02
37.0833,70.4167,2.28
37.0833,70.5833,2.85
37.0833,70.75,1.87
37.0833,79.4167,0.56
37.0833,79.5833,0.79
37.0833,79.75,0.75
37.0833,79.9167,0.7
37.0833,80.0833,0.81
37.0833,80.25,1.0
37.0833,80.4167,1.24
37.0833,80.5833,1.23
37.0833,80.75,1.29
37.0833,80.9167,1.57
37.0833,81.0833,1.5
37.0833,81.25,1.64
37.0833,81.4167,1.88
37.0833,81.5833,1.73
37.0833,81.75,1.7
37.0833,81.9167,1.61
37.0833,82.0833,1.65
37.0833,82.25,1.59
37.0833,82.4167,1.68
37.0833,82.5833,1.67
37.0833,82.75,1.46
37.0833,82.9167,1.53
37.0833,83.0833,1.09
37.0833,83.25,0.75
37.0833,83.4167,0.43
36.9167,68.0833,7.74
36.9167,68.25,7.64
36.9167,68.4167,7.39
36.9167,68.5833,7.53
36.9167,68.75,7.31
36.9167,68.9167,6.62
36.9167,69.0833,6.59
36.9167,69.25,6.19
36.9167,69.4167,6.09
36.9167,69.5833,5.68
36.9167,69.75,6.27
36.9167,69.9167,5.31
36.9167,70.0833,5.81
36.9167,70.25,3.2
36.9167,70.4167,1.39
36.9167,70.9167,1.65
36.9167,79.5833,0.21
36.9167,79.75,0.19
36.9167,79.9167,0.63
36.9167,80.0833,0.29
36.9167,80.25,0.8
36.9167,80.4167,1.27
36.9167,80.5833,1.35
36.9167,80.75,1.29
36.9167,80.9167,1.78
36.9167,81.0833,1.83
36.9167,81.25,1.88
36.9167,81.4167,1.82
36.9167,81.5833,1.47
36.9167,81.75,1.87
36.9167,81.9167,1.92
36.9167,82.0833,1.82
36.9167,82.25,1.59
36.9167,82.4167,1.41
36.9167,82.5833,0.98
36.9167,82.75,1.02
36.9167,82.9167,0.84
36.9167,83.0833,0.27
36.9167,83.25,0.04
36.75,68.0833,7.48
36.75,68.25,7.59
36.75,68.4167,7.01
36.75,68.5833,6.73
36.75,68.75,7.22
36.75,68.9167,7.11
36.75,69.0833,6.68
36.75,69.25,6.24
36.75,69.4167,6.57
36.75,69.5833,6.12
36.75,69.75,4.58
36.75,69.9167,2.81
36.75,70.0833,3.77
36.75,70.25,1.36
36.75,70.9167,0.81
36.75,80.4167,0.01
36.75,80.5833,0.52
36.75,80.75,1.01
36.75,80.9167,1.67
36.75,81.0833,1.53
36.75,81.25,1.58
36.75,81.4167,1.57
36.75,81.5833,1.59
36.75,81.75,2.23
36.75,81.9167,1.56
36.75,82.0833,0.9
36.75,82.25,0.34
36.5833,68.0833,6.52
36.5833,68.25,6.74
36.5833,68.4167,7.11
36.5833,68.5833,6.51
36.5833,68.75,6.43
36.5833,68.9167,7.02
36.5833,69.0833,6.36
36.5833,69.25,5.11
36.5833,69.4167,5.52
36.5833,69.5833,4.41
36.5833,69.75,3.65
36.5833,69.9167,3.29
36.5833,70.25,1.42
36.5833,80.75,0.7
36.5833,80.9167,1.24
36.5833,81.0833,1.13
36.5833,81.25,1.18
36.5833,81.4167,1.28
36.5833,81.5833,1.35
36.5833,81.75,1.47
36.5833,81.9167,0.36
36.4167,68.0833,4.63
36.4167,68.25,4.98
36.4167,68.4167,6.2
36.4167,68.5833,6.58
36.4167,68.75,6.91
36.4167,68.9167,6.33
36.4167,69.0833,5.24
36.4167,69.25,5.03
36.4167,69.4167,3.67
36.4167,69.5833,1.56
36.4167,69.9167,0.59
36.4167,80.9167,0.29
36.4167,81.0833,0.57
36.4167,81.25,0.84
36.4167,81.4167,0.57
36.25,68.0833,4.75
36.25,68.25,4.91
36.25,68.4167,5.52
36.25,68.5833,6.53
36.25,68.75,7.3
36.25,68.9167,6.17
36.25,69.0833,5.17
36.25,69.25,4.1
36.25,69.5833,0.61
36.25,72.25,0.02
36.25,73.75,1.11
36.0833,68.0833,3.23
36.0833,68.25,3.25
36.0833,68.4167,3.61
36.0833,68.5833,7.18
36.0833,68.75,6.71
36.0833,68.9167,5.78
36.0833,69.0833,5.83
36.0833,69.25,3.85
36.0833,69.4167,1.54
36.0833,69.5833,3.41
36.0833,72.0833,0.38
36.0833,74.25,2.42
35.9167,68.0833,1.98
35.9167,68.4167,3.89
35.9167,68.5833,7.15
35.9167,68.75,6.92
35.9167,68.9167,5.4
35.9167,69.0833,3.33
35.9167,69.25,2.34
35.9167,69.5833,1.23
35.9167,71.75,2.25
35.9167,74.25,1.61
35.9167,74.4167,4.69
35.75,68.4167,2.19
35.75,68.5833,4.78
35.75,68.75,5.82
35.75,68.9167,4.19
35.75,69.0833,3.81
35.75,69.25,3.03
35.75,69.4167,0.85
35.75,71.75,4.95
35.75,74.5833,5.43
35.75,74.75,0.71
35.5833,68.4167,4.13
35.5833,68.5833,5.13
35.5833,68.75,5.49
35.5833,68.9167,4.78
35.5833,69.0833,3.0
35.5833,69.25,2.04
35.5833,69.4167,0.08
35.5833,71.75,5.85
35.5833,73.4167,2.68
35.5833,73.5833,6.54
35.5833,73.75,6.44
35.5833,73.9167,6.7
35.5833,74.0833,1.63
35.5833,74.5833,3.44
35.4167,68.0833,0.54
35.4167,68.25,3.74
35.4167,68.4167,1.41
35.4167,71.4167,3.72
35.4167,71.5833,6.38
35.4167,71.75,3.87
35.4167,72.0833,3.47
35.4167,72.25,0.26
35.4167,73.0833,1.74
35.4167,73.25,5.62
35.4167,73.75,1.84
35.4167,73.9167,6.1
35.4167,74.0833,8.06
35.4167,74.25,5.94
35.4167,74.4167,3.54
35.25,68.0833,1.43
35.25,69.25,0.43
35.25,69.4167,0.87
35.25,70.25,1.54
35.25,71.25,1.19
35.25,71.4167,6.54
35.25,71.5833,7.25
35.25,71.75,2.23
35.25,71.9167,7.21
35.25,72.0833,4.46
35.25,72.5833,3.25
35.25,73.0833,3.12
35.25,73.25,6.22
35.0833,68.9167,0.88
35.0833,69.0833,2.23
35.0833,69.25,6.0
35.0833,69.4167,4.19
35.0833,69.5833,0.69
35.0833,70.25,2.67
35.0833,70.4167,4.84
35.0833,70.5833,1.29
35.0833,70.75,3.55
35.0833,70.9167,5.63
35.0833,71.25,7.48
35.0833,71.4167,8.48
35.0833,71.5833,4.58
35.0833,71.75,8.37
35.0833,71.9167,9.26
35.0833,72.0833,9.22
35.0833,72.25,5.49
35.0833,72.4167,8.84
35.0833,72.5833,5.68
35.0833,72.75,0.7
35.0833,72.9167,8.19
35.0833,73.0833,6.32
34.9167,68.75,0.08
34.9167,69.0833,2.16
34.9167,69.25,5.87
34.9167,69.4167,5.78
34.9167,69.5833,6.26
34.9167,69.75,3.46
34.9167,70.0833,6.44
34.9167,70.25,4.68
34.9167,70.4167,9.77
34.9167,70.5833,2.01
34.9167,70.75,5.33
34.9167,70.9167,8.5
34.9167,71.0833,9.79
34.9167,71.25,10.64
34.9167,71.4167,9.37
34.9167,71.5833,11.07
34.9167,71.75,12.07
34.9167,71.9167,11.23
34.9167,72.0833,9.96
34.9167,72.25,10.35
34.9167,72.4167,12.16
34.9167,72.5833,8.8
34.9167,72.75,9.27
34.9167,72.9167,10.27
34.9167,73.0833,3.5
34.75,69.0833,3.23
34.75,69.25,4.36
34.75,69.4167,2.77
34.75,69.5833,7.55
34.75,69.75,7.4
34.75,69.9167,5.88
34.75,70.0833,10.86
34.75,70.25,12.07
34.75,70.4167,9.08
34.75,70.5833,5.0
34.75,70.75,6.61
34.75,70.9167,10.95
34.75,71.0833,12.32
34.75,71.25,11.31
34.75,71.4167,13.2
34.75,71.5833,12.71
34.75,71.75,12.39
34.75,71.9167,11.83
34.75,72.0833,12.39
34.75,72.25,12.32
